Allergen_Name,Brand,Allergen_Category,Risk_Level
perly,Perly,Dairy,High
lait,Jaouda,Dairy,High
eau de source,Cristaline,Other,Low
fromage blanc nature,Milky Food Professional,Dairy,High
jben,Jaouda,Dairy,High
yeast extract,Marmite,Other,Medium
prince goût chocolat,LU,Tree Nuts,Medium
nutella,Ferrero,Tree Nuts/Gluten,High
sésame,Gerblé,Sesame,High
yaourt nature,Jaouda,Dairy,High
mayonnaise recette originale,Star,Eggs,Medium
geröstete mandel ohne zucker,Danone/Alpro,Tree Nuts,High
walnusskerne naturbelassen,Alesto,Tree Nuts,High
cheddar,la Hollandaise,Dairy,High
almonds natural,Alesto,Tree Nuts,High
cashewkerne,Alesto,Tree Nuts,High
milk chocolate bar,Maruja,Dairy/Cocoa,Medium
cream cheese,Original,Dairy,High
beurre tendre doux,Elle & Vire,Dairy,High
flocons avoine,LIDL,Gluten,High
