Exercise Name,Target Muscle Group,Exercise Type,Equipment Required,Mechanics,Force Type,Experience Level,Secondary Muscles,Found In Categories,URL
Military Press (AKA Overhead Press) Video Exercise Guide,Shoulders,Strength,Barbell,Compound,Push (Bilateral),Intermediate,"Abs, Traps, Triceps","Abductors, Abs, Adductors, Biceps, Calves, Chest, Forearms, Glutes, Hamstrings, Hip Flexors, IT Band, Lats, Lower Back, Neck, Obliques, Palmar Fascia, Plantar Fascia, Quads, Shoulders, Traps, Triceps, Upper Back",https://www.muscleandstrength.com/exercises/military-press.html
Dumbbell Deadlift Video Exercise Guide,Lower Back,Strength,Dumbbell,Compound,Pull,Beginner,"Calves, Forearms, Glutes, Hamstrings, Middle Back, Quads, Traps","Abductors, Abs, Adductors, Biceps, Calves, Chest, Forearms, Glutes, Hamstrings, Hip Flexors, IT Band, Lats, Lower Back, Neck, Obliques, Palmar Fascia, Plantar Fascia, Quads, Shoulders, Traps, Triceps, Upper Back",https://www.muscleandstrength.com/exercises/dumbbell-deadlift.html
Seated Arnold Press Video Exercise Guide,Shoulders,Strength,Dumbbell,Compound,Push (Bilateral),Intermediate,"Traps, Triceps","Abductors, Abs, Adductors, Biceps, Calves, Chest, Forearms, Glutes, Hamstrings, Hip Flexors, IT Band, Lats, Lower Back, Neck, Obliques, Palmar Fascia, Plantar Fascia, Quads, Shoulders, Traps, Triceps, Upper Back",https://www.muscleandstrength.com/exercises/seated-arnold-press.html
Dumbbell Lateral Raise Video Exercise Guide,Shoulders,Strength,Dumbbell,Isolation,Pull,Beginner,None,"Abductors, Abs, Adductors, Biceps, Calves, Chest, Forearms, Glutes, Hamstrings, Hip Flexors, IT Band, Lats, Lower Back, Neck, Obliques, Palmar Fascia, Plantar Fascia, Quads, Shoulders, Traps, Triceps, Upper Back",https://www.muscleandstrength.com/exercises/dumbbell-lateral-raise.html
Bent Over Row Video Exercise Guide,Upper Back,Strength,Barbell,Compound,Pull (Bilateral),Beginner,"Abs, Biceps, Lats, Lower Back, Shoulders","Abductors, Abs, Adductors, Biceps, Calves, Chest, Forearms, Glutes, Hamstrings, Hip Flexors, IT Band, Lats, Lower Back, Neck, Obliques, Palmar Fascia, Plantar Fascia, Quads, Shoulders, Traps, Triceps, Upper Back",https://www.muscleandstrength.com/exercises/bent-over-barbell-row.html
Dumbbell Pullover Video Exercise Guide,Chest,Strength,Dumbbell,Compound,Pull,Intermediate,Lats,"Abductors, Abs, Adductors, Biceps, Calves, Chest, Forearms, Glutes, Hamstrings, Hip Flexors, IT Band, Lats, Lower Back, Neck, Obliques, Palmar Fascia, Plantar Fascia, Quads, Shoulders, Traps, Triceps, Upper Back",https://www.muscleandstrength.com/exercises/dumbbell-pullover.html
Stiff Leg Deadlift Video Exercise Guide,Hamstrings,Strength,Barbell,Compound,Hinge (Bilateral),Intermediate,"Abs, Adductors, Calves, Glutes, Lats, Lower Back, Quads, Traps, Upper Back","Abductors, Abs, Adductors, Biceps, Calves, Chest, Forearms, Glutes, Hamstrings, Hip Flexors, IT Band, Lats, Lower Back, Neck, Obliques, Palmar Fascia, Plantar Fascia, Quads, Shoulders, Traps, Triceps, Upper Back",https://www.muscleandstrength.com/exercises/stiff-leg-deadlift-aka-romanian-deadlift.html
Hip Abduction Machine Video Exercise Guide,Abductors,Strength,Machine,Isolation,Push (Bilateral),Beginner,"Abs, Glutes, Hamstrings",Abductors,https://www.muscleandstrength.com/exercises/hip-abduction-machine.html
Cable Hip Abduction Video Exercise Guide,Abductors,Strength,Cable,Isolation,N/A,Beginner,Glutes,Abductors,https://www.muscleandstrength.com/exercises/cable-hip-abduction.html
Lying Floor Leg Raise Video Exercise Guide,Abs,Strength,Bodyweight,Isolation,Pull (Bilateral),Beginner,None,Abs,https://www.muscleandstrength.com/exercises/lying-floor-leg-raise.html
Weighted Crunch Video Exercise Guide,Abs,Strength,Other,Isolation,Pull,Intermediate,None,Abs,https://www.muscleandstrength.com/exercises/weighted-crunch.html
