url,slug,name,force,grips,mechanic,primary_muscles,secondary_muscles,difficulty,equipment,exercise_type,description,instructions_html,images
https://musclewiki.com/exercise/abdominals-stretch-variation-four,abdominals-stretch-variation-four,Abdominals Stretch Variation Four,,None,,Abdominals,,Beginner,Bodyweight,Stretches,Step-by-step guide for performing Abdominals Stretch Variation Four,,https://media.musclewiki.com/media/uploads/og-male-abdominals-stretch-variation-4-front.jpg | https://media.musclewiki.com/media/uploads/og-male-abdominals-stretch-variation-4-side.jpg
https://musclewiki.com/exercise/abdominals-stretch-variation-one,abdominals-stretch-variation-one,Abdominals Stretch Variation One,,None,,Abdominals,,Novice,Bodyweight,Stretches,Step-by-step guide for performing Abdominals Stretch Variation One,,https://media.musclewiki.com/media/uploads/og-male-abdominals-stretch-variation-1-front.jpg | https://media.musclewiki.com/media/uploads/og-male-abdominals-stretch-variation-1-side.jpg
https://musclewiki.com/exercise/abdominals-stretch-variation-three,abdominals-stretch-variation-three,Abdominals Stretch Variation Three,,None,,Abdominals | Obliques,,Novice,Bodyweight,Stretches,Step-by-step guide for performing Abdominals Stretch Variation Three,,https://media.musclewiki.com/media/uploads/og-male-abdominals-stretch-variation-3-front.jpg | https://media.musclewiki.com/media/uploads/og-male-abdominals-stretch-variation-3-side.jpg
https://musclewiki.com/exercise/abdominals-stretch-variation-two,abdominals-stretch-variation-two,Abdominals Stretch Variation Two,,None,,Abdominals | Obliques,,Novice,Bodyweight,Stretches,Step-by-step guide for performing Abdominals Stretch Variation Two,,https://media.musclewiki.com/media/uploads/og-male-abdominals-stretch-variation-2-front.jpg | https://media.musclewiki.com/media/uploads/og-male-abdominals-stretch-variation-2-side.jpg
https://musclewiki.com/exercise/abductor-leg-raise-side-lying,abductor-leg-raise-side-lying,Abductor Leg Raise Side Lying,Push,None,Isolation,Glutes | Gluteus Medius,,Beginner,Bodyweight,Recovery,Step-by-step guide for performing Abductor Leg Raise Side Lying,,https://media.musclewiki.com/media/uploads/og-male-Recovery-abductor-leg-raise-side-lying-front.jpg | https://media.musclewiki.com/media/uploads/og-male-Recovery-abductor-leg-raise-side-lying-side.jpg
https://musclewiki.com/exercise/abductor-leg-raise-side-lying-isometric,abductor-leg-raise-side-lying-isometric,Abductor Leg Raise Side Lying Isometric,Hold,None,Isolation,Glutes | Gluteus Medius,,Beginner,Bodyweight,Recovery,Step-by-step guide for performing Abductor Leg Raise Side Lying Isometric,,https://media.musclewiki.com/media/uploads/og-male-Recovery-abductor-leg-raise-side-lying-isometric-front.jpg | https://media.musclewiki.com/media/uploads/og-male-Recovery-abductor-leg-raise-side-lying-isometric-side.jpg
https://musclewiki.com/exercise/adductor-leg-raise-side-lying,adductor-leg-raise-side-lying,Adductor Leg Raise Side Lying,Pull,None,Isolation,Inner Thigh,,Beginner,Bodyweight,Recovery,Step-by-step guide for performing Adductor Leg Raise Side Lying,,https://media.musclewiki.com/media/uploads/og-male-Recovery-adductor-leg-raise-side-lying-side.jpg | https://media.musclewiki.com/media/uploads/og-male-Recovery-adductor-leg-raise-side-lying-front.jpg
https://musclewiki.com/exercise/adductor-leg-raise-side-lying-isometric,adductor-leg-raise-side-lying-isometric,Adductor Leg Raise Side Lying Isometric,Hold,None,Isolation,Inner Thigh,,Beginner,Bodyweight,Recovery,Step-by-step guide for performing Adductor Leg Raise Side Lying Isometric,,https://media.musclewiki.com/media/uploads/og-male-Recovery-adductor-leg-raise-side-lying-isometric-side.jpg | https://media.musclewiki.com/media/uploads/og-male-Recovery-adductor-leg-raise-side-lying-isometric-front.jpg
https://musclewiki.com/exercise/adductor-raise-side-lying-long-lever,adductor-raise-side-lying-long-lever,Adductor Raise Side Lying Long Lever,Hold,None,Isolation,Inner Thigh,,Advanced,Bodyweight,Recovery,Step-by-step guide for performing Adductor Raise Side Lying Long Lever,,https://media.musclewiki.com/media/uploads/og-male-Recovery-adductor-raise-side-lying-long-lever-front.jpg | https://media.musclewiki.com/media/uploads/og-male-Recovery-adductor-raise-side-lying-long-lever-side.jpg
https://musclewiki.com/exercise/adductor-raise-side-lying-short-lever,adductor-raise-side-lying-short-lever,Adductor Raise Side Lying Short Lever,Hold,None,Isolation,Inner Thigh,,Intermediate,Bodyweight,Recovery,Step-by-step guide for performing Adductor Raise Side Lying Short Lever,,https://media.musclewiki.com/media/uploads/og-male-Recovery-adductor-raise-side-lying-short-lever-side.jpg | https://media.musclewiki.com/media/uploads/og-male-Recovery-adductor-raise-side-lying-short-lever-front.jpg
